Iteration_step	age	teff_primary	feh	Pdisk	logQ	
168	7.194569570548285	5811.2659578687435	-0.09840580567055182	4.4365114942242725	8.784167120597477	7.4923174519667715	594.8051311969757
169	4.14616119253718	5931.970605745609	-0.1285231345824978	4.41270174373073	9.27381851088821	11.495480758893493	338.41408610343933
170	5.714861995789491	5789.020548490568	0.015386402795248347	4.446014414208865	9.156516202857086	9.78693840219258	435.57131266593933
172	7.785583691064273	5839.655955999508	0.10974912881837647	4.441375451389891	9.25902812054054	nan	495.2007691860199
173	5.197628940090709	6106.226881405977	0.2804952086951739	4.416815745123556	9.210566999674212	nan	495.2007691860199
174	8.207443868852682	5834.017956439231	0.07057054533027923	4.241546231128948	9.002224116801157	nan	495.2007691860199
175	7.138917479088546	5755.149336539578	0.06905048437157389	4.503412287509029	9.306859167469414	10.203074997851342	518.8539180755615
176	6.634979078328453	5708.720104491521	0.08606486578671828	4.393730182769655	9.153863327159122	9.530498101438756	496.834858417511
177	3.8324619768423465	5721.689660970955	-0.17437165721136916	4.388269567033487	9.253137235803825	13.619751259165032	312.1904582977295
178	5.687243491598182	6016.001741144283	0.15807206565720838	4.337932019405589	9.107283033376913	nan	312.1904582977295
179	4.002665592536717	5801.660573191711	-0.10927382822192962	4.420966269880379	9.17838991051675	11.59754113567372	318.1948039531708
180	7.612367080818658	5731.056674915375	0.07411402727183676	4.252884722423965	9.023899985817748	8.101245435477747	555.6074256896973
181	3.961937187284912	5869.03989091597	0.12563625359520803	4.332318764091633	9.287062415372212	9.828799925848598	324.38719415664673
182	8.79144033639701	5941.8130672187035	0.05172767483537836	4.1684363361967725	8.879239757713886	nan	324.38719415664673
183	7.034637509672356	5792.492589219865	-0.0740824168639026	4.287523652226289	9.122400554804669	9.815888680570199	524.7717294692993
184	10.560150468469203	5923.557463062192	-0.11145454252211283	4.538784452795239	9.220733023361015	nan	524.7717294692993
185	6.003427852648878	5944.626992928267	0.03686081289937486	4.474926428959385	8.781187573334126	5.680845609898082	512.614132642746
186	6.296796558009631	5801.761702510494	0.08255466902585894	4.289473773284568	9.266911378257332	9.633294306777266	472.5664007663727
187	6.210570772342003	5915.868685261366	0.1003872795688784	4.38279200098817	8.82154033486122	5.266382500466376	535.7254295349121
188	8.42336363237281	5858.885115239434	0.1692402955495212	4.282139298757163	9.058994606435355	nan	535.7254295349121
189	6.707295395302981	5845.752200041824	0.023368691495176168	4.489582643120455	9.104940907356399	8.322612891363862	496.23406505584717
190	4.284948859093991	5713.076148135977	-0.0010261232030860101	4.493692471625364	9.289724476659071	12.297644446325288	344.49886894226074
191	8.801017631203884	5971.709828432171	-0.11546061822457916	4.307417797818979	9.056382941161239	nan	344.49886894226074
192	7.918096581645544	5700.795945000282	0.12089550324474703	4.261806697514638	9.183804781844382	8.946989807377873	584.27694272995
193	3.5862043145371336	5922.287068574417	-0.03623667129048981	4.473742734682657	9.260458998770167	10.783230445688213	291.71945333480835
194	5.651900006938921	5933.817829377971	0.08443991553462757	4.343824521196288	9.264265352878562	8.226933474108863	427.31878566741943
196	4.359541606165163	5969.935289908238	0.03157367928687455	4.399016910557507	9.11048439776391	8.270122166282082	340.19745802879333
197	6.15419774526187	5770.81765050606	0.10372376346825939	4.532972832455798	9.028952365762256	8.107531297579605	455.12539649009705
198	6.648982193191641	5893.865993572413	-0.08870866853446448	4.434371527219615	8.633691143030404	6.1546377973007065	559.1982755661011
199	6.519172710496082	6029.887784702712	0.03774451542893528	4.480230523026187	8.915512158725114	nan	559.1982755661011
200	6.928936776638833	5978.455294378755	0.1535358930133858	4.601738171818907	9.020908921776225	nan	559.1982755661011
201	0.8500295553538928	5784.797105704011	-0.033268219445995464	4.686987301193661	8.811821585684605	7.70865289810453	82.5186665058136
202	2.0710811643002045	5951.421627444563	-0.06839210644067836	4.468394576355143	9.353081018169096	11.603606410278957	185.25538659095764
203	1.5835172510550333	5969.366043777845	-0.05246041396637101	4.4983398838249835	9.183647904751604	9.863165740837207	142.44916892051697
204	4.999557895805888	5738.9250647383315	-0.15266807428698528	4.634882852696052	9.004992621442913	10.659639673266387	389.37375831604004
205	5.783495667209828	5796.9611930033	-0.04746638295878909	4.592461300999086	9.352747499550802	12.042084994083744	421.0837278366089
206	5.8372552324016445	5883.191186198094	-0.021118594374778473	4.692890877844126	8.865911006399696	7.268314210681157	433.41358494758606
208	5.3629787594830445	5726.051610326634	0.023159963042798312	4.495973947752246	8.929703308830065	8.688129583924265	410.4018621444702
209	7.76549032824456	5596.776574895497	0.1516467759408371	4.5093909336669835	8.454544859261816	5.531160438314076	660.9908196926117
210	6.737158248518007	5831.756617876214	0.11649931369275347	4.748376419347345	9.134464745607868	7.617572322289895	533.1487095355988
211	6.365601832461052	5903.702240280812	0.14883154808903173	4.509162533100993	8.785746319671688	nan	533.1487095355988
212	6.88631266693955	5651.374344088531	0.03532829940595372	4.683915251881289	8.622706155175631	6.860622718820205	591.9276630878448
213	4.945537096307273	5710.560162783004	0.20549172162928264	4.541295920460108	8.534797013522825	5.568509426472259	471.65140080451965
214	2.6887929872180054	5600.273236645948	0.2083729640209262	4.578029393947064	8.777356072893667	7.812062764517842	255.10354351997375
215	7.325691013996713	5620.041984057198	0.25396914918726776	4.481098825094651	8.878229597416073	6.908542080103135	640.927698135376
216	6.6228762641153605	5836.614038717037	-0.1228203866618522	4.711923110724165	8.660741843020666	6.947887459109084	604.8100152015686
218	0.9888383231497873	5859.1340938963085	0.12253338878053792	4.5289476751089195	9.038992601133119	7.669877808001829	95.61690640449524
220	5.0645559588479685	5879.147548189104	-0.08240172769840037	4.428388410628472	8.888820989798948	8.183064898361717	396.6442985534668
221	7.718400338936618	5494.058753862047	-0.06219914414544813	4.540781813915993	8.896118880635393	10.243548598114428	569.8011193275452
223	4.546309322365083	5732.611776127115	-0.053772867652763484	4.686287538338072	8.7850221031054	8.418587570113365	378.9858784675598
224	4.738624125065347	5758.763823865468	-0.11704644909704397	4.740324801118461	8.449017126029272	6.648904081854643	465.6988410949707
225	2.0194725130344247	5648.450766218932	0.07812924787951053	4.577376726817024	8.851930276125087	8.917398697294106	200.73550057411194
226	4.7455171126254685	5706.984711359485	-0.1139033031619914	4.696258642424288	8.969574070301706	10.340485324738625	393.9977798461914
227	3.7995405033522753	5709.232130952928	0.01800609899590294	4.5364600758717035	8.189376017168748	5.266382499999774	367.9382026195526
228	5.774535888213839	5714.546422876649	-0.19226467693706237	4.585537682604378	8.659995111171996	8.37865633665972	475.96492648124695
229	6.007330619349682	5695.6728121393335	-0.031036422111521467	4.560291733078773	8.192631163953678	5.266381140320697	568.7735204696655
230	6.847840630800394	5897.389077565441	-0.21673279089155284	4.419222497441345	8.613259257513851	6.843737509328914	622.5660934448242
231	7.547594862330179	5595.770516692375	-0.0793906454938384	4.441742566044459	8.647266104284109	7.961061876207309	669.350492477417
232	8.462155055349754	5717.8201608009795	0.06100757653423046	4.364402042732256	8.739036694906211	6.337909303491311	762.1262419223785
233	5.82599755672881	5581.154402418495	-0.06508354690742041	4.552706140955594	8.56013586178711	7.695378557297633	571.9265689849854
234	2.5193929416092806	5770.328771880115	-0.13261018830928378	4.557876867490778	8.650690282500637	8.210807898847323	271.3227472305298
235	6.182878107697707	5965.787434593022	-0.013856319036649821	4.497804021960287	8.338081068664206	5.266382514049893	646.8776319026947
236	3.650960071312741	5757.445694918252	-0.17198837217374602	4.48382602523727	8.861739364281839	9.815615857335478	351.87781858444214
237	9.462752064398053	5924.54979087618	-0.07333669003505236	4.590659550802472	8.426492158331401	nan	351.87781858444214
238	6.128729485418199	5723.321875731741	-0.04770910020611213	4.4146048894377	8.508203338884039	6.496594752924166	559.2849564552307
239	5.396259117633871	5613.632427525695	-0.06387655440639908	4.717231999441319	8.251605915205607	5.967999910844895	516.7051255702972
240	1.2765396257329256	5737.868808144335	-0.1833415612577927	4.494448179414167	8.69347124853928	8.925306613719313	142.77037143707275
241	5.6432609964878155	5832.231621794422	0.04194877536273073	4.547005394328665	8.763674652369877	6.701971123506127	523.3951530456543
242	4.359130534370158	5580.816194346495	-0.11711560910382414	4.666102373913707	8.35263902231554	6.974852665691198	424.545369386673
243	3.7930021837384755	5817.105270588009	-0.037088138622530756	4.6228032148035645	8.60830267412778	6.937613236819561	339.1926553249359
244	2.8480054976231046	5762.036093278933	-0.05631703709171972	4.704137271307845	8.721694420414245	8.191729248366489	265.3325471878052
245	2.0237175679184394	5889.769344885933	0.05488548806057804	4.611278678771589	8.62755406107366	6.546804325639829	193.48459148406982
248	1.3168330928779293	5447.492701866744	0.10930462821057602	4.40007767657609	8.313612397419334	6.511176578236044	140.83159399032593
249	6.535627273899753	5680.730594344964	0.15355280471485439	4.382398744709762	8.04149990227494	5.2663826812597545	645.4472243785858
251	2.141126566344628	5558.716954969886	0.24322131384372836	4.381391906778351	8.548205328355492	6.621368876406173	205.03678011894226
253	1.6728500291755606	5575.146033670694	0.07978626968879522	4.6176219217537655	8.658986417875902	8.047612154188553	164.94773888587952
255	9.883182108797067	5655.788135117902	0.134626302301701	4.711702024937895	8.837541857879724	5.973015824836988	843.7895517349243
256	7.476207941870575	5513.438539803634	0.46813321156135534	4.58627489236982	9.131434482387007	7.302465100646047	599.4913165569305
257	7.610331086008891	5555.008461862157	0.056824250859612235	4.75569909221008	8.83924095381085	8.502589074731421	615.6517641544342
