0	KIC	teff	teff_e	feh	feh_e	Porb	Porb_e	e	e_e	logg	logg_e	Pspin	Pspin_e	q	mass	age	feh
109	10215422	5644.0	169.0	-0.06	0.3	24.847	0.0001079	0.29	0.001	4.55	0.035	24.83	2.224	0.5022	0.8779954845763914	3.5823332133058545	-0.2165082850509368
111	10223616	4457.0	121.0	-1.48	0.3	29.125	0.0001330	0.22	0.001	4.767	0.063	16.426	3.224	0.786	0.545822492469885	5.903224079465551	-0.9286157087094026
117	10454401	5750.0	156.0	-0.04	0.3	12.181	0.0000390	0.336	0.001	4.538	0.04	12.012	0.5419999999999998	0.9194	0.9103992473469997	3.049531835539743	-0.19657566105280605
119	10490960	5897.0	158.0	-0.06	0.25	5.682	0.0000130	0.102	0.001	4.278	0.185	5.476	0.13700000000000045	0.9863	1.0214173244361768	5.926782278058173	-0.04410914514974798
120	10711551	6022.0	162.0	-0.2	0.3	10.692	0.0000336	0.053	0.01	4.49	0.054	10.692	0.31599999999999895	0.8791	0.9383757949233522	3.282438576945996	-0.32948182187686287
123	10874926	6014.0	162.0	-0.08	0.25	11.703	0.0000367	0.302	0.001	4.494	0.052	14.752	2.9879999999999978	0.7199	0.992508658297196	1.9739327434083016	-0.2090924064798522
125	10987439	6496.0	77.0	0.1	0.15	10.675	0.0000322	0.046	0.01	4.212	0.095	13.327	1.3510000000000009	0.9089	1.167853292695961	2.9847072496622626	-0.17920136897203637
126	10992733	5492.0	180.0	0.2	0.2	18.526	0.0000710	0.38	0.001	4.533	0.044	15.634	0.2699999999999996	0.8396	0.9670940977401419	3.2953426078079895	0.1279183910243321
128	11073223	6028.0	163.0	-0.56	0.3	11.579	0.0000359	0.019	0.01	4.355	0.158	6.752	0.21499999999999986	0.7276	0.9035547125831622	6.445175618951125	-0.4554956356369714
129	11391181	5387.0	176.0	-0.06	0.3	8.617	0.0000236	0.18	0.001	4.482	0.088	7.886	0.28300000000000036	0.7971	0.8976506885382368	6.704001696271476	0.013439716017686065
132	11519226	5893.0	162.0	-0.4	0.35	22.161	0.0000811	0.189	0.001	3.945	0.315	5.302	0.034000000000000696	0.9579	0.9465870611363023	7.015037724549771	-0.2438221276938804
133	11858541	5594.0	149.0	-0.16	0.3	5.674	0.0000900	0.056	0.01	4.303	0.242	5.493	0.17899999999999938	0.5854	0.9377285585752066	7.431395262332923	-0.08080517640376321
134	11867071	6617.0	186.0	-0.16	0.25	3.964	0.0000129	0.074	0.01	4.373	0.072	3.885	0.15800000000000036	0.4428	1.1054881087889876	2.1597792646164065	-0.3525684451759945
137	12013615	6060.0	184.0	-0.02	0.25	8.203	0.0001952	0.011	0.01	4.059	0.329	9.361	0.20399999999999885	0.9018	1.044975209491866	5.327761315229749	-0.10134764748374189
138	12022517	5819.0	158.0	-0.4	0.3	3.443	0.0000221	0.139	0.001	4.501	0.072	3.366	0.018999999999999684	0.6472	0.8719461527241794	5.274650935208358	-0.3578477234344061
142	12470530	4859.0	144.0	-0.7	0.3	8.207	0.0000045	0.385	0.001	4.637	0.06	6.254	0.0990000000000002	0.6426	0.6495728664889394	6.9807938118798605	-0.586180661795672
